,approach,fold,log,precision
132,Pasquadibisceglie,4,bpi_challenge_2013_incidents,0.4889550668746208
133,Pasquadibisceglie,1,bpi_challenge_2013_incidents,0.48818838391906016
134,Pasquadibisceglie,3,bpi_challenge_2013_incidents,0.483485791332117
135,Pasquadibisceglie,1,bpi_challenge_2012_w,0.7615664485515338
136,Pasquadibisceglie,3,bpi_challenge_2012_w,0.761700055198498
137,Pasquadibisceglie,0,bpi_challenge_2012_w,0.7613567185143911
138,Pasquadibisceglie,4,bpi_challenge_2012_w,0.7505704679258237
139,Pasquadibisceglie,2,bpi_challenge_2012_w,0.7529671892553601
140,Pasquadibisceglie,1,sepsis,0.5799540674282717
141,Pasquadibisceglie,2,sepsis,0.5745911614157003
142,Pasquadibisceglie,3,sepsis,0.5709300695559414
143,Pasquadibisceglie,4,sepsis,0.6108827178666294
144,Pasquadibisceglie,0,sepsis,0.6134054132527997
145,Pasquadibisceglie,0,env_permit,0.8361841404469462
146,Pasquadibisceglie,4,env_permit,0.8339824271283155
147,Pasquadibisceglie,2,env_permit,0.8326030499232258
148,Pasquadibisceglie,1,env_permit,0.8591901391512993
149,Pasquadibisceglie,3,env_permit,0.8650702994695824
150,Pasquadibisceglie,0,bpi_challenge_2012_o,0.8200982838920057
151,Pasquadibisceglie,4,bpi_challenge_2012_o,0.8275078633969918
152,Pasquadibisceglie,1,bpi_challenge_2012_o,0.830438481078617
153,Pasquadibisceglie,2,bpi_challenge_2012_o,0.8312398872186619
154,Pasquadibisceglie,3,bpi_challenge_2012_o,0.7938173671774613
155,Pasquadibisceglie,3,bpi_challenge_2012_complete,0.7291310988659148
156,Pasquadibisceglie,2,bpi_challenge_2012_complete,0.7301110723570857
157,Pasquadibisceglie,0,bpi_challenge_2012_complete,0.7241432429363239
158,Pasquadibisceglie,1,bpi_challenge_2012_complete,0.7160182466374316
159,Pasquadibisceglie,4,bpi_challenge_2012_complete,0.7362777919712177
160,Pasquadibisceglie,1,bpi_challenge_2013_closed_problems,0.5903506229169457
161,Pasquadibisceglie,3,bpi_challenge_2013_closed_problems,0.6179515024270689
162,Pasquadibisceglie,2,bpi_challenge_2013_closed_problems,0.5551988269108565
163,Pasquadibisceglie,0,bpi_challenge_2013_closed_problems,0.5038104684787739
164,Pasquadibisceglie,4,bpi_challenge_2013_closed_problems,0.5432375444877018
165,Pasquadibisceglie,4,bpi_challenge_2012,0.8386684272098818
166,Pasquadibisceglie,0,bpi_challenge_2012,0.8273471945033527
167,Pasquadibisceglie,3,bpi_challenge_2012,0.8208507138949299
168,Pasquadibisceglie,1,bpi_challenge_2012,0.8327284987118783
169,Pasquadibisceglie,2,bpi_challenge_2012,0.8167105759823662
170,Pasquadibisceglie,3,nasa,0.8756375630764728
171,Pasquadibisceglie,2,nasa,0.8818719609382969
172,Pasquadibisceglie,1,nasa,0.8760882697142035
173,Pasquadibisceglie,4,nasa,0.8793794260918623
174,Pasquadibisceglie,0,nasa,0.8729690524368613
175,Pasquadibisceglie,4,bpi_challenge_2012_w_complete,0.6357219671495403
176,Pasquadibisceglie,0,bpi_challenge_2012_w_complete,0.6163261870437573
177,Pasquadibisceglie,3,bpi_challenge_2012_w_complete,0.6256204607414906
178,Pasquadibisceglie,1,bpi_challenge_2012_w_complete,0.631097477255645
179,Pasquadibisceglie,2,bpi_challenge_2012_w_complete,0.62792183521821
180,Mauro,1,helpdesk,0.2052594125621965
181,Mauro,4,helpdesk,0.34921527521741313
182,Mauro,0,helpdesk,0.2067354305832344
183,Mauro,3,helpdesk,0.33099070510428874
184,Mauro,2,helpdesk,0.20865871563374183
185,Mauro,4,bpi_challenge_2012_a,0.7449409168538482
186,Mauro,1,bpi_challenge_2012_a,0.7436581678483919
187,Mauro,0,bpi_challenge_2012_a,0.7461341123494182
188,Mauro,3,bpi_challenge_2012_a,0.7832276945669033
189,Mauro,2,bpi_challenge_2012_a,0.7461658028066454
190,Mauro,2,bpi_challenge_2013_incidents,0.37544344992353984
191,Mauro,0,bpi_challenge_2013_incidents,0.38790208062705545
192,Mauro,4,bpi_challenge_2013_incidents,0.3773176348011972
193,Mauro,1,bpi_challenge_2013_incidents,0.36296713415975024
194,Mauro,3,bpi_challenge_2013_incidents,0.39341449361207464
195,Mauro,3,bpi_challenge_2012_w,0.8448034674938509
196,Mauro,4,bpi_challenge_2012_w,0.8319330143116785
197,Mauro,2,bpi_challenge_2012_w,0.8311192152090744
198,Mauro,0,bpi_challenge_2012_w,0.8423961751787706
199,Mauro,1,bpi_challenge_2012_w,0.8350955064790118
200,Mauro,2,sepsis,0.5654222345589588
201,Mauro,0,sepsis,0.6602982484629887
202,Mauro,3,sepsis,0.5627110156027894
203,Mauro,4,sepsis,0.627275405662402
204,Mauro,1,sepsis,0.6130699031501397
205,Mauro,0,env_permit,0.5198375667622827
206,Mauro,4,env_permit,0.5211217079381326
207,Mauro,2,env_permit,0.5419554632902297
208,Mauro,1,env_permit,0.5287480795740103
209,Mauro,3,env_permit,0.5479023205914131
210,Mauro,4,bpi_challenge_2012_o,0.8242887843274225
211,Mauro,1,bpi_challenge_2012_o,0.8458882517222682
212,Mauro,3,bpi_challenge_2012_o,0.8371275949260346
213,Mauro,0,bpi_challenge_2012_o,0.8419040930673473
214,Mauro,2,bpi_challenge_2012_o,0.8441550956399573
215,Mauro,1,bpi_challenge_2012_complete,0.8109674286960117
216,Mauro,0,bpi_challenge_2012_complete,0.7881237202332904
217,Mauro,3,bpi_challenge_2012_complete,0.7933011988225753
218,Mauro,4,bpi_challenge_2012_complete,0.7866324767289056
219,Mauro,2,bpi_challenge_2012_complete,0.7866250094472828
220,Mauro,3,bpi_challenge_2013_closed_problems,0.06296904150710488
221,Mauro,4,bpi_challenge_2013_closed_problems,0.055340946000082346
222,Mauro,0,bpi_challenge_2013_closed_problems,0.0579457163809121
223,Mauro,2,bpi_challenge_2013_closed_problems,0.07116302444580443
224,Mauro,1,bpi_challenge_2013_closed_problems,0.06623920750428308
225,Mauro,1,bpi_challenge_2012,0.8089601961195823
226,Mauro,0,bpi_challenge_2012,0.8488742039774659
227,Mauro,3,bpi_challenge_2012,0.8572071352748157
228,Mauro,4,bpi_challenge_2012,0.857447502992723
229,Mauro,2,bpi_challenge_2012,0.8527693206533673
230,Mauro,3,nasa,0.3731012759987773
231,Mauro,2,nasa,0.1310531462140135
232,Mauro,1,nasa,0.11586079390625366
233,Mauro,4,nasa,0.11959065314242874
234,Mauro,0,nasa,0.10231539110924165
235,Mauro,4,bpi_challenge_2012_w_complete,0.6558962962711249
236,Mauro,0,bpi_challenge_2012_w_complete,0.6572747274322448
237,Mauro,1,bpi_challenge_2012_w_complete,0.6600705609930071
238,Mauro,3,bpi_challenge_2012_w_complete,0.6541000224496818
239,Mauro,2,bpi_challenge_2012_w_complete,0.6498215013152105
240,Hinkka,3,helpdesk,0.7556899503995438
241,Hinkka,2,helpdesk,0.7669065453392884
242,Hinkka,1,helpdesk,0.7750704563710391
243,Hinkka,4,helpdesk,0.7763244396657737
244,Hinkka,0,helpdesk,0.7737092313237108
245,Hinkka,0,bpi_challenge_2012_a,0.8050184182243718
246,Hinkka,4,bpi_challenge_2012_a,0.8042184878597334
247,Hinkka,3,bpi_challenge_2012_a,0.8111606286562791
248,Hinkka,2,bpi_challenge_2012_a,0.810613769884284
249,Hinkka,1,bpi_challenge_2012_a,0.8091406623221566
250,Hinkka,1,bpi_challenge_2013_incidents,0.7370910450657349
251,Hinkka,0,bpi_challenge_2013_incidents,0.746160079701722
252,Hinkka,2,bpi_challenge_2013_incidents,0.7268429433438391
253,Hinkka,3,bpi_challenge_2013_incidents,0.739348300893477
254,Hinkka,4,bpi_challenge_2013_incidents,0.7397821096613789
255,Hinkka,1,bpi_challenge_2012_w,0.8211786498097655
256,Hinkka,3,bpi_challenge_2012_w,0.7944065166613089
257,Hinkka,0,bpi_challenge_2012_w,0.824529317537141
258,Hinkka,2,bpi_challenge_2012_w,0.8272278938140075
259,Hinkka,4,bpi_challenge_2012_w,0.8094896483775578
260,Hinkka,1,sepsis,0.6499763100854725
261,Hinkka,4,sepsis,0.6645483290078151
262,Hinkka,2,sepsis,0.6473804545333985
263,Hinkka,0,sepsis,0.6565150321212522
264,Hinkka,3,sepsis,0.6613218780901413
265,Hinkka,3,env_permit,0.8464471697825956
266,Hinkka,1,env_permit,0.8291018874826335
267,Hinkka,0,env_permit,0.8267779460461375
268,Hinkka,2,env_permit,0.8066044084633003
269,Hinkka,4,env_permit,0.8220077027018104
270,Hinkka,1,bpi_challenge_2012_o,0.9224713134547017
271,Hinkka,2,bpi_challenge_2012_o,0.9195076393937018
272,Hinkka,0,bpi_challenge_2012_o,0.9227931677371891
273,Hinkka,3,bpi_challenge_2012_o,0.9183304642913179
274,Hinkka,4,bpi_challenge_2012_o,0.91364642791374
275,Hinkka,1,bpi_challenge_2012_complete,0.7902621984216924
276,Hinkka,2,bpi_challenge_2012_complete,0.8055539334469143
277,Hinkka,4,bpi_challenge_2012_complete,0.8118490893707015
278,Hinkka,0,bpi_challenge_2012_complete,0.8107103226085449
279,Hinkka,3,bpi_challenge_2012_complete,0.8016073481663348
280,Hinkka,4,bpi_challenge_2013_closed_problems,0.6448144018539186
281,Hinkka,0,bpi_challenge_2013_closed_problems,0.6863083952142186
282,Hinkka,1,bpi_challenge_2013_closed_problems,0.44261626678265703
283,Hinkka,3,bpi_challenge_2013_closed_problems,0.6851882628831404
284,Hinkka,2,bpi_challenge_2013_closed_problems,0.5429314007597954
285,Hinkka,4,bpi_challenge_2012,0.8756640370706275
286,Hinkka,0,bpi_challenge_2012,0.8730831527038984
287,Hinkka,1,bpi_challenge_2012,0.8738781237342694
288,Hinkka,2,bpi_challenge_2012,0.8697648963465473
289,Hinkka,3,bpi_challenge_2012,0.8749983945956092
290,Hinkka,0,nasa,0.8745304988587075
291,Hinkka,4,nasa,0.8871266008723176
292,Hinkka,2,nasa,0.8735423208198883
293,Hinkka,3,nasa,0.892370089248301
294,Hinkka,1,nasa,0.8744129763526661
295,Hinkka,1,bpi_challenge_2012_w_complete,0.7053643597872835
296,Hinkka,4,bpi_challenge_2012_w_complete,0.6857086925051208
297,Hinkka,3,bpi_challenge_2012_w_complete,0.694643124208153
298,Hinkka,0,bpi_challenge_2012_w_complete,0.685834213659064
299,Hinkka,2,bpi_challenge_2012_w_complete,0.6960018178306159
300,Theis_resource,3,helpdesk,0.764148553396672
301,Theis_resource,2,helpdesk,0.7451994760828697
302,Theis_resource,0,helpdesk,0.7574623504192058
303,Theis_resource,1,helpdesk,0.7690038401872865
304,Theis_resource,4,helpdesk,0.7813572603132599
305,Theis_resource,4,bpi_challenge_2012_a,0.5457772729827116
306,Theis_resource,2,bpi_challenge_2012_a,0.559690907378293
307,Theis_resource,1,bpi_challenge_2012_a,0.6053979810641622
308,Theis_resource,3,bpi_challenge_2012_a,0.5294070875207432
309,Theis_resource,0,bpi_challenge_2012_a,0.5615463333498559
310,Theis_resource,0,bpi_challenge_2013_incidents,0.48694285402673954
311,Theis_resource,2,bpi_challenge_2013_incidents,0.4998466894234315
312,Theis_resource,4,bpi_challenge_2013_incidents,0.5142096287192158
313,Theis_resource,1,bpi_challenge_2013_incidents,0.49474923188296405
314,Theis_resource,3,bpi_challenge_2013_incidents,0.48475973678666157
315,Theis_resource,2,bpi_challenge_2012_w,0.8106216045485495
316,Theis_resource,1,bpi_challenge_2012_w,0.7991077660881628
317,Theis_resource,4,bpi_challenge_2012_w,0.8106420904285968
318,Theis_resource,3,bpi_challenge_2012_w,0.8186793847540753
319,Theis_resource,0,bpi_challenge_2012_w,0.8151892536117183
320,Theis_resource,4,sepsis,0.5759728028215256
321,Theis_resource,3,sepsis,0.5532371602377042
322,Theis_resource,1,sepsis,0.5252210260757946
