,approach,fold,log,mcc
162,Pasquadibisceglie,3,bpi_challenge_2012_w_complete,0.5813128232230075
163,Pasquadibisceglie,1,bpi_challenge_2012_w_complete,0.5950736127891247
164,Pasquadibisceglie,2,bpi_challenge_2012_w_complete,0.595135574206326
165,Pasquadibisceglie,1,sepsis,0.4715790644852671
166,Pasquadibisceglie,2,sepsis,0.4739767074356012
167,Pasquadibisceglie,3,sepsis,0.45933120663471744
168,Pasquadibisceglie,4,sepsis,0.521696878277948
169,Pasquadibisceglie,0,sepsis,0.5127292736313348
170,Pasquadibisceglie,1,bpi_challenge_2013_closed_problems,0.38253529829280714
171,Pasquadibisceglie,3,bpi_challenge_2013_closed_problems,0.3800514921590386
172,Pasquadibisceglie,2,bpi_challenge_2013_closed_problems,0.38525870448848915
173,Pasquadibisceglie,0,bpi_challenge_2013_closed_problems,0.3199279383839655
174,Pasquadibisceglie,4,bpi_challenge_2013_closed_problems,0.33980012206809257
175,Pasquadibisceglie,0,bpi_challenge_2012_o,0.7609346260911696
176,Pasquadibisceglie,4,bpi_challenge_2012_o,0.7657280237787949
177,Pasquadibisceglie,1,bpi_challenge_2012_o,0.7631744623587621
178,Pasquadibisceglie,2,bpi_challenge_2012_o,0.762988144216229
179,Pasquadibisceglie,3,bpi_challenge_2012_o,0.738650425719707
180,Mauro,3,nasa,0.3744264099777318
181,Mauro,2,nasa,0.16772441836281216
182,Mauro,1,nasa,0.16252743048354265
183,Mauro,4,nasa,0.16539725562905783
184,Mauro,0,nasa,0.1463001711293964
185,Mauro,1,bpi_challenge_2012_complete,0.7882318899448935
186,Mauro,0,bpi_challenge_2012_complete,0.7834547082168912
187,Mauro,3,bpi_challenge_2012_complete,0.7867548229361724
188,Mauro,4,bpi_challenge_2012_complete,0.7845577443925577
189,Mauro,2,bpi_challenge_2012_complete,0.7850318221244347
190,Mauro,4,bpi_challenge_2012_a,0.7760167476446275
191,Mauro,1,bpi_challenge_2012_a,0.776367896686986
192,Mauro,0,bpi_challenge_2012_a,0.7761824284315675
193,Mauro,3,bpi_challenge_2012_a,0.7766904096809747
194,Mauro,2,bpi_challenge_2012_a,0.7804471955573439
195,Mauro,2,bpi_challenge_2013_incidents,0.259627285521765
196,Mauro,0,bpi_challenge_2013_incidents,0.21343609791169066
197,Mauro,4,bpi_challenge_2013_incidents,0.28184452343216837
198,Mauro,1,bpi_challenge_2013_incidents,0.26801228281311257
199,Mauro,3,bpi_challenge_2013_incidents,0.2680558162369472
200,Mauro,1,helpdesk,0.2639666163381882
201,Mauro,4,helpdesk,0.38464587154539415
202,Mauro,0,helpdesk,0.08711224845184064
203,Mauro,3,helpdesk,0.37059897594286156
204,Mauro,2,helpdesk,0.08814918436273814
205,Mauro,1,bpi_challenge_2012,0.8024190423884675
206,Mauro,0,bpi_challenge_2012,0.8479374417829676
207,Mauro,3,bpi_challenge_2012,0.8497849990310875
208,Mauro,4,bpi_challenge_2012,0.8492497318375318
209,Mauro,2,bpi_challenge_2012,0.8489794997291953
210,Mauro,0,env_permit,0.5075792136905233
211,Mauro,4,env_permit,0.5213549578566068
212,Mauro,2,env_permit,0.5206628860508261
213,Mauro,1,env_permit,0.5022444051133025
214,Mauro,3,env_permit,0.5394245650505837
215,Mauro,3,bpi_challenge_2012_w,0.8455960428972475
216,Mauro,4,bpi_challenge_2012_w,0.8443775270642911
217,Mauro,2,bpi_challenge_2012_w,0.8399749134254667
218,Mauro,0,bpi_challenge_2012_w,0.8478886530613922
219,Mauro,1,bpi_challenge_2012_w,0.8484786564388856
220,Mauro,4,bpi_challenge_2012_w_complete,0.5799204445136108
221,Mauro,0,bpi_challenge_2012_w_complete,0.595319422169192
222,Mauro,1,bpi_challenge_2012_w_complete,0.6065996010126942
223,Mauro,3,bpi_challenge_2012_w_complete,0.5955527920124967
224,Mauro,2,bpi_challenge_2012_w_complete,0.5913537138532083
225,Mauro,2,sepsis,0.515683154759953
226,Mauro,0,sepsis,0.6082301385938557
227,Mauro,3,sepsis,0.5141205966784401
228,Mauro,4,sepsis,0.5904278073430583
229,Mauro,1,sepsis,0.5626292239414644
230,Mauro,3,bpi_challenge_2013_closed_problems,0.0
231,Mauro,4,bpi_challenge_2013_closed_problems,0.0
232,Mauro,0,bpi_challenge_2013_closed_problems,-0.011214653863543077
233,Mauro,2,bpi_challenge_2013_closed_problems,-0.0033807379433681718
234,Mauro,1,bpi_challenge_2013_closed_problems,-0.020206686355258095
235,Mauro,4,bpi_challenge_2012_o,0.7941506252805992
236,Mauro,1,bpi_challenge_2012_o,0.805606250709098
237,Mauro,3,bpi_challenge_2012_o,0.7967485238052749
238,Mauro,0,bpi_challenge_2012_o,0.8013426499245347
239,Mauro,2,bpi_challenge_2012_o,0.8054444595250808
240,Hinkka,0,nasa,0.8788503705852637
241,Hinkka,4,nasa,0.8876379034367331
242,Hinkka,2,nasa,0.8788353314920108
243,Hinkka,3,nasa,0.8892046841218976
244,Hinkka,1,nasa,0.878938413549404
245,Hinkka,1,bpi_challenge_2012_complete,0.793129863260487
246,Hinkka,2,bpi_challenge_2012_complete,0.7939743813431681
247,Hinkka,4,bpi_challenge_2012_complete,0.7948665044806623
248,Hinkka,0,bpi_challenge_2012_complete,0.7916013682804852
249,Hinkka,3,bpi_challenge_2012_complete,0.7911880356852383
250,Hinkka,0,bpi_challenge_2012_a,0.7843326677311346
251,Hinkka,4,bpi_challenge_2012_a,0.7836169823154264
252,Hinkka,3,bpi_challenge_2012_a,0.7860134205173928
253,Hinkka,2,bpi_challenge_2012_a,0.7891291287487602
254,Hinkka,1,bpi_challenge_2012_a,0.7863651753123277
255,Hinkka,1,bpi_challenge_2013_incidents,0.6533097430824683
