accuracy,approach,fold,log
0.3698196540301803,Mauro,3,bpi_challenge_2013_incidents
0.5776138550352791,Mauro,2,sepsis
0.6532116532116532,Mauro,0,sepsis
0.576018549188473,Mauro,3,sepsis
0.6453752181500872,Mauro,4,sepsis
0.6238394728960767,Mauro,1,sepsis
0.8674399179923308,Hinkka,4,bpi_challenge_2012
0.8653609358165307,Hinkka,0,bpi_challenge_2012
0.8667953667953668,Hinkka,1,bpi_challenge_2012
0.8676047329708986,Hinkka,2,bpi_challenge_2012
0.865511823243002,Hinkka,3,bpi_challenge_2012
0.8180764774044033,Hinkka,3,helpdesk
0.8315103560623691,Hinkka,2,helpdesk
0.8324669187145558,Hinkka,1,helpdesk
0.8396404919583728,Hinkka,4,helpdesk
0.8320860617399439,Hinkka,0,helpdesk
0.8503981002933371,Hinkka,1,bpi_challenge_2012_w
0.8477200424178155,Hinkka,3,bpi_challenge_2012_w
0.8468006440455602,Hinkka,0,bpi_challenge_2012_w
0.8470549463718617,Hinkka,2,bpi_challenge_2012_w
0.8469948533046436,Hinkka,4,bpi_challenge_2012_w
0.8108505596862489,Hinkka,0,bpi_challenge_2012_a
0.8102261553588987,Hinkka,4,bpi_challenge_2012_a
0.8114166666666667,Hinkka,3,bpi_challenge_2012_a
0.8149205055034652,Hinkka,2,bpi_challenge_2012_a
0.8118771106169179,Hinkka,1,bpi_challenge_2012_a
0.8803588549513766,Hinkka,0,nasa
0.8892284705243141,Hinkka,4,nasa
0.8803860269131439,Hinkka,2,nasa
0.8907271241830066,Hinkka,3,nasa
0.8800804828973843,Hinkka,1,nasa
0.8593656493117894,Hinkka,3,env_permit
0.8407234539089848,Hinkka,1,env_permit
0.8444976076555024,Hinkka,0,env_permit
0.8340011448196909,Hinkka,2,env_permit
0.8430899215449608,Hinkka,4,env_permit
0.7120559741657696,Hinkka,1,bpi_challenge_2012_w_complete
0.7050821174314513,Hinkka,4,bpi_challenge_2012_w_complete
0.7053453099690767,Hinkka,3,bpi_challenge_2012_w_complete
0.6976004625614339,Hinkka,0,bpi_challenge_2012_w_complete
0.7070156306797528,Hinkka,2,bpi_challenge_2012_w_complete
0.8705527318932655,Hinkka,1,bpi_challenge_2012_o
0.8736415247364152,Hinkka,2,bpi_challenge_2012_o
0.8730744544287549,Hinkka,0,bpi_challenge_2012_o
0.8705405826452719,Hinkka,3,bpi_challenge_2012_o
0.8739399869536856,Hinkka,4,bpi_challenge_2012_o
0.8066076232506121,Hinkka,1,bpi_challenge_2012_complete
0.8076150502173587,Hinkka,2,bpi_challenge_2012_complete
0.8082179327899155,Hinkka,4,bpi_challenge_2012_complete
0.8049643227419649,Hinkka,0,bpi_challenge_2012_complete
0.804759396399467,Hinkka,3,bpi_challenge_2012_complete
0.6488673139158576,Hinkka,4,bpi_challenge_2013_closed_problems
0.6661676646706587,Hinkka,0,bpi_challenge_2013_closed_problems
0.5879360465116279,Hinkka,1,bpi_challenge_2013_closed_problems
0.6584269662921348,Hinkka,3,bpi_challenge_2013_closed_problems
