,approach,f1-score,fold,log
209,Mauro,0.8392892312256095,2,bpi_challenge_2012
210,Mauro,0.3495842684884077,2,bpi_challenge_2013_incidents
211,Mauro,0.3524136895235904,0,bpi_challenge_2013_incidents
212,Mauro,0.37296853504631194,4,bpi_challenge_2013_incidents
213,Mauro,0.3586370267348715,1,bpi_challenge_2013_incidents
214,Mauro,0.37626231735039495,3,bpi_challenge_2013_incidents
215,Mauro,0.8034990635049296,4,bpi_challenge_2012_o
216,Mauro,0.8150824195533758,1,bpi_challenge_2012_o
217,Mauro,0.8079008488888666,3,bpi_challenge_2012_o
218,Mauro,0.8030744737272917,0,bpi_challenge_2012_o
219,Mauro,0.8121167691562748,2,bpi_challenge_2012_o
220,Mauro,0.5144504350784292,0,env_permit
221,Mauro,0.5234755994153482,4,env_permit
222,Mauro,0.5265781368606447,2,env_permit
223,Mauro,0.5131124515473402,1,env_permit
224,Mauro,0.5438907158785389,3,env_permit
225,Mauro,0.5689371057867701,2,sepsis
226,Mauro,0.6348948789042568,0,sepsis
227,Mauro,0.5605019500974746,3,sepsis
228,Mauro,0.634656213939361,4,sepsis
229,Mauro,0.6103559485548721,1,sepsis
230,Mauro,0.7551696017817088,4,bpi_challenge_2012_a
231,Mauro,0.7520269777927604,1,bpi_challenge_2012_a
232,Mauro,0.7537211517533656,0,bpi_challenge_2012_a
233,Mauro,0.7531833501776437,3,bpi_challenge_2012_a
234,Mauro,0.7594236223383038,2,bpi_challenge_2012_a
235,Mauro,0.22502359910818562,1,helpdesk
236,Mauro,0.3808760019007912,4,helpdesk
237,Mauro,0.22296572694978542,0,helpdesk
238,Mauro,0.3659292463518536,3,helpdesk
239,Mauro,0.22421320414788154,2,helpdesk
240,Hinkka,0.5895748863883751,4,bpi_challenge_2013_closed_problems
241,Hinkka,0.6146711357956348,0,bpi_challenge_2013_closed_problems
242,Hinkka,0.49270209997452025,1,bpi_challenge_2013_closed_problems
243,Hinkka,0.6133664053163657,3,bpi_challenge_2013_closed_problems
244,Hinkka,0.5430401873342315,2,bpi_challenge_2013_closed_problems
245,Hinkka,0.8204420453139154,1,bpi_challenge_2012_w
246,Hinkka,0.8140673711175452,3,bpi_challenge_2012_w
247,Hinkka,0.817294850653486,0,bpi_challenge_2012_w
248,Hinkka,0.81431389721796,2,bpi_challenge_2012_w
249,Hinkka,0.8147476442187164,4,bpi_challenge_2012_w
250,Hinkka,0.8726768516569833,0,nasa
251,Hinkka,0.8824865124687873,4,nasa
252,Hinkka,0.8735021837431117,2,nasa
253,Hinkka,0.8859021798182699,3,nasa
254,Hinkka,0.872037815899462,1,nasa
255,Hinkka,0.6842097299636791,1,bpi_challenge_2012_w_complete
256,Hinkka,0.6754012317109515,4,bpi_challenge_2012_w_complete
257,Hinkka,0.6740974891884766,3,bpi_challenge_2012_w_complete
258,Hinkka,0.6697019745417424,0,bpi_challenge_2012_w_complete
259,Hinkka,0.6767262206284956,2,bpi_challenge_2012_w_complete
260,Hinkka,0.7731803993430992,1,bpi_challenge_2012_complete
261,Hinkka,0.7733173043543413,2,bpi_challenge_2012_complete
262,Hinkka,0.7745569376216881,4,bpi_challenge_2012_complete
263,Hinkka,0.7704994784136624,0,bpi_challenge_2012_complete
264,Hinkka,0.7693674012591708,3,bpi_challenge_2012_complete
265,Hinkka,0.852441306672239,4,bpi_challenge_2012
266,Hinkka,0.8500042965335549,0,bpi_challenge_2012
267,Hinkka,0.8530877645795127,1,bpi_challenge_2012
268,Hinkka,0.8524746729803518,2,bpi_challenge_2012
269,Hinkka,0.8521344273306186,3,bpi_challenge_2012
270,Hinkka,0.7331381222619616,1,bpi_challenge_2013_incidents
271,Hinkka,0.7315851956529353,0,bpi_challenge_2013_incidents
272,Hinkka,0.7328940313297425,2,bpi_challenge_2013_incidents
273,Hinkka,0.717186263182947,3,bpi_challenge_2013_incidents
274,Hinkka,0.7369227800653002,4,bpi_challenge_2013_incidents
275,Hinkka,0.8756141601409232,1,bpi_challenge_2012_o
276,Hinkka,0.8772998007348801,2,bpi_challenge_2012_o
277,Hinkka,0.87706250054695,0,bpi_challenge_2012_o
278,Hinkka,0.8752203543174475,3,bpi_challenge_2012_o
279,Hinkka,0.8772207687804785,4,bpi_challenge_2012_o
280,Hinkka,0.8436917514958936,3,env_permit
281,Hinkka,0.8200927661631915,1,env_permit
282,Hinkka,0.8250391065931656,0,env_permit
283,Hinkka,0.8095937313927087,2,env_permit
284,Hinkka,0.8243283413823289,4,env_permit
285,Hinkka,0.5920873270364829,1,sepsis
286,Hinkka,0.6228086378826131,4,sepsis
287,Hinkka,0.610628882918481,2,sepsis
288,Hinkka,0.6171695286571515,0,sepsis
289,Hinkka,0.6189728132129085,3,sepsis
290,Hinkka,0.7874145532353348,0,bpi_challenge_2012_a
291,Hinkka,0.7866760542706528,4,bpi_challenge_2012_a
292,Hinkka,0.7870024870678535,3,bpi_challenge_2012_a
293,Hinkka,0.7917203720922653,2,bpi_challenge_2012_a
294,Hinkka,0.7885583039892942,1,bpi_challenge_2012_a
295,Hinkka,0.782927017469957,3,helpdesk
296,Hinkka,0.7963623115841006,2,helpdesk
297,Hinkka,0.80061278181597,1,helpdesk
298,Hinkka,0.805339032410266,4,helpdesk
299,Hinkka,0.7998422672362996,0,helpdesk
300,Theis_resource,0.4843136520680233,1,bpi_challenge_2013_closed_problems
301,Theis_resource,0.4976797266630256,2,bpi_challenge_2013_closed_problems
302,Theis_resource,0.5131567212041729,4,bpi_challenge_2013_closed_problems
303,Theis_resource,0.5601693685865747,3,bpi_challenge_2013_closed_problems
304,Theis_resource,0.4952795896994217,0,bpi_challenge_2013_closed_problems
305,Theis_resource,0.8299920385872902,2,bpi_challenge_2012_w
306,Theis_resource,0.8235267858494768,1,bpi_challenge_2012_w
307,Theis_resource,0.83471502890575,4,bpi_challenge_2012_w
308,Theis_resource,0.8427806344533536,3,bpi_challenge_2012_w
309,Theis_resource,0.8380932999474217,0,bpi_challenge_2012_w
310,Theis_resource,0.8480088403981195,3,nasa
311,Theis_resource,0.85006133802025,0,nasa
312,Theis_resource,0.8491611445563265,1,nasa
313,Theis_resource,0.8506683631022598,2,nasa
314,Theis_resource,0.8443168339333581,4,nasa
315,Theis_resource,0.8331028235661667,4,bpi_challenge_2012_w_complete
316,Theis_resource,0.8471595878827751,2,bpi_challenge_2012_w_complete
317,Theis_resource,0.8289410625874275,1,bpi_challenge_2012_w_complete
318,Theis_resource,0.8325726003950359,3,bpi_challenge_2012_w_complete
319,Theis_resource,0.833317308413701,0,bpi_challenge_2012_w_complete
320,Theis_resource,0.7047493552685424,0,bpi_challenge_2012_complete
321,Theis_resource,0.7039899981310401,3,bpi_challenge_2012_complete
322,Theis_resource,0.7118105262655663,2,bpi_challenge_2012_complete
323,Theis_resource,0.7094596890759625,4,bpi_challenge_2012_complete
324,Theis_resource,0.7102803629302415,1,bpi_challenge_2012_complete
325,Theis_resource,0.7809752580327665,4,bpi_challenge_2012
326,Theis_resource,0.7842129037428797,0,bpi_challenge_2012
327,Theis_resource,0.7741554687714836,3,bpi_challenge_2012
328,Theis_resource,0.7772040730289825,1,bpi_challenge_2012
329,Theis_resource,0.7896687918012767,2,bpi_challenge_2012
330,Theis_resource,0.4869181762377182,0,bpi_challenge_2013_incidents
331,Theis_resource,0.49409896765192707,2,bpi_challenge_2013_incidents
332,Theis_resource,0.5062035779137857,4,bpi_challenge_2013_incidents
333,Theis_resource,0.48619198756427745,1,bpi_challenge_2013_incidents
334,Theis_resource,0.47180892842808314,3,bpi_challenge_2013_incidents
335,Theis_resource,0.7394233317167944,3,bpi_challenge_2012_o
336,Theis_resource,0.7288573902562103,4,bpi_challenge_2012_o
337,Theis_resource,0.744190347471235,1,bpi_challenge_2012_o
338,Theis_resource,0.7364900634542441,2,bpi_challenge_2012_o
339,Theis_resource,0.7439522516279116,0,bpi_challenge_2012_o
340,Theis_resource,0.8443227689999024,3,env_permit
341,Theis_resource,0.8272143327306756,4,env_permit
342,Theis_resource,0.8347388628355933,1,env_permit
343,Theis_resource,0.8356659208409534,0,env_permit
344,Theis_resource,0.8294948248365815,2,env_permit
345,Theis_resource,0.5763839099515925,4,sepsis
346,Theis_resource,0.5548791354479737,3,sepsis
347,Theis_resource,0.5223126259746321,1,sepsis
348,Theis_resource,0.5606003053226556,2,sepsis
349,Theis_resource,0.5741888433488893,0,sepsis
350,Theis_resource,0.5748489083598618,4,bpi_challenge_2012_a
351,Theis_resource,0.5876127921792601,2,bpi_challenge_2012_a
352,Theis_resource,0.5750911857192726,1,bpi_challenge_2012_a
353,Theis_resource,0.5688610868958593,3,bpi_challenge_2012_a
354,Theis_resource,0.5866042377930353,0,bpi_challenge_2012_a
355,Theis_resource,0.7404439950261068,3,helpdesk
356,Theis_resource,0.7491867750892118,2,helpdesk
357,Theis_resource,0.7597040981474492,0,helpdesk
358,Theis_resource,0.762025135744286,1,helpdesk
359,Theis_resource,0.7666041551213059,4,helpdesk
360,Theis_no_resource,0.5057342527222046,1,bpi_challenge_2013_closed_problems
361,Theis_no_resource,0.49271376937480454,2,bpi_challenge_2013_closed_problems
362,Theis_no_resource,0.5456598402961002,4,bpi_challenge_2013_closed_problems
363,Theis_no_resource,0.5736949978938392,3,bpi_challenge_2013_closed_problems
364,Theis_no_resource,0.5508279940283402,0,bpi_challenge_2013_closed_problems
365,Theis_no_resource,0.8288170434533927,2,bpi_challenge_2012_w
366,Theis_no_resource,0.8297398913789168,1,bpi_challenge_2012_w
367,Theis_no_resource,0.8012741705107927,4,bpi_challenge_2012_w
368,Theis_no_resource,0.7836513832003291,3,bpi_challenge_2012_w
369,Theis_no_resource,0.8305351977108073,0,bpi_challenge_2012_w
370,Theis_no_resource,0.8809239144445161,3,nasa
371,Theis_no_resource,0.8803591093738948,0,nasa
372,Theis_no_resource,0.8762563422225461,1,nasa
373,Theis_no_resource,0.8807829572554825,2,nasa
374,Theis_no_resource,0.8817327515010605,4,nasa
375,Theis_no_resource,0.7697522615816136,4,bpi_challenge_2012_w_complete
376,Theis_no_resource,0.7867688463852719,2,bpi_challenge_2012_w_complete
377,Theis_no_resource,0.7732113456279005,1,bpi_challenge_2012_w_complete
378,Theis_no_resource,0.7784013568743435,3,bpi_challenge_2012_w_complete
379,Theis_no_resource,0.7688920668829059,0,bpi_challenge_2012_w_complete
380,Theis_no_resource,0.6972556008293325,0,bpi_challenge_2012_complete
381,Theis_no_resource,0.6990946313338733,3,bpi_challenge_2012_complete
382,Theis_no_resource,0.7057854067065775,2,bpi_challenge_2012_complete
383,Theis_no_resource,0.7042942435553413,4,bpi_challenge_2012_complete
384,Theis_no_resource,0.7035471898130753,1,bpi_challenge_2012_complete
385,Theis_no_resource,0.7990650406406544,4,bpi_challenge_2012
386,Theis_no_resource,0.7942538393694769,0,bpi_challenge_2012
