,approach,brier,fold,log
188,Mauro,0.763635,1,env_permit
189,Mauro,0.777239,3,env_permit
190,Mauro,1.099236,1,helpdesk
191,Mauro,0.915398,4,helpdesk
192,Mauro,1.066962,0,helpdesk
193,Mauro,0.94371,3,helpdesk
194,Mauro,1.065469,2,helpdesk
195,Mauro,1.140743,3,nasa
196,Mauro,0.944143,2,nasa
197,Mauro,0.94505,1,nasa
198,Mauro,0.942648,4,nasa
199,Mauro,0.941482,0,nasa
200,Mauro,0.225774,4,bpi_challenge_2012_o
201,Mauro,0.221078,1,bpi_challenge_2012_o
202,Mauro,0.224554,3,bpi_challenge_2012_o
203,Mauro,0.220516,0,bpi_challenge_2012_o
204,Mauro,0.21965,2,bpi_challenge_2012_o
205,Mauro,0.872681,3,bpi_challenge_2013_closed_problems
206,Mauro,0.862433,4,bpi_challenge_2013_closed_problems
207,Mauro,0.863069,0,bpi_challenge_2013_closed_problems
208,Mauro,0.871136,2,bpi_challenge_2013_closed_problems
209,Mauro,0.859893,1,bpi_challenge_2013_closed_problems
210,Mauro,0.271791,1,bpi_challenge_2012_complete
211,Mauro,0.280449,0,bpi_challenge_2012_complete
212,Mauro,0.275238,3,bpi_challenge_2012_complete
213,Mauro,0.276441,4,bpi_challenge_2012_complete
214,Mauro,0.274566,2,bpi_challenge_2012_complete
215,Mauro,0.248814,4,bpi_challenge_2012_a
216,Mauro,0.24654,1,bpi_challenge_2012_a
217,Mauro,0.247471,0,bpi_challenge_2012_a
218,Mauro,0.247658,3,bpi_challenge_2012_a
219,Mauro,0.246092,2,bpi_challenge_2012_a
220,Mauro,0.429071,4,bpi_challenge_2012_w_complete
221,Mauro,0.420648,0,bpi_challenge_2012_w_complete
222,Mauro,0.41744,1,bpi_challenge_2012_w_complete
223,Mauro,0.416938,3,bpi_challenge_2012_w_complete
224,Mauro,0.425583,2,bpi_challenge_2012_w_complete
225,Mauro,0.571349,2,sepsis
226,Mauro,0.488228,0,sepsis
227,Mauro,0.575592,3,sepsis
228,Mauro,0.459539,4,sepsis
229,Mauro,0.50515,1,sepsis
230,Mauro,0.913352,2,bpi_challenge_2013_incidents
231,Mauro,0.912883,0,bpi_challenge_2013_incidents
232,Mauro,0.90951,4,bpi_challenge_2013_incidents
233,Mauro,0.895833,1,bpi_challenge_2013_incidents
234,Mauro,0.880266,3,bpi_challenge_2013_incidents
235,Mauro,0.283901,1,bpi_challenge_2012
236,Mauro,0.1926,0,bpi_challenge_2012
237,Mauro,0.190039,3,bpi_challenge_2012
238,Mauro,0.188209,4,bpi_challenge_2012
239,Mauro,0.191184,2,bpi_challenge_2012
240,Hinkka,0.09879685850331756,1,bpi_challenge_2012_w
241,Hinkka,0.10217530540386445,3,bpi_challenge_2012_w
242,Hinkka,0.10054832570669853,0,bpi_challenge_2012_w
243,Hinkka,0.10068942333345596,2,bpi_challenge_2012_w
244,Hinkka,0.10349497062020063,4,bpi_challenge_2012_w
245,Hinkka,0.36892337792425717,3,env_permit
246,Hinkka,0.3908349699059491,1,env_permit
247,Hinkka,0.374056146085133,0,env_permit
248,Hinkka,0.38866963294357526,2,env_permit
249,Hinkka,0.3780233960916304,4,env_permit
250,Hinkka,0.4393994925369302,3,helpdesk
251,Hinkka,0.4532039578218185,2,helpdesk
252,Hinkka,0.44132249203199553,1,helpdesk
253,Hinkka,0.44885445443304034,4,helpdesk
254,Hinkka,0.46057832318039865,0,helpdesk
255,Hinkka,0.1437135236269327,0,nasa
256,Hinkka,0.13531403049497304,4,nasa
257,Hinkka,0.13724442601393155,2,nasa
258,Hinkka,0.13808801566379114,3,nasa
259,Hinkka,0.13464618059867758,1,nasa
260,Hinkka,0.30345203067121373,1,bpi_challenge_2012_o
