,approach,fold,log,recall
163,Pasquadibisceglie,4,bpi_challenge_2012_w,0.8196857670979667
164,Pasquadibisceglie,2,bpi_challenge_2012_w,0.81202696686383
165,Pasquadibisceglie,2,bpi_challenge_2013_incidents,0.4561848901339403
166,Pasquadibisceglie,0,bpi_challenge_2013_incidents,0.46208833290783763
167,Pasquadibisceglie,4,bpi_challenge_2013_incidents,0.458479020979021
168,Pasquadibisceglie,1,bpi_challenge_2013_incidents,0.45903817199539454
169,Pasquadibisceglie,3,bpi_challenge_2013_incidents,0.4658770912704986
170,Pasquadibisceglie,4,bpi_challenge_2012,0.834821517748347
171,Pasquadibisceglie,0,bpi_challenge_2012,0.8296730013371693
172,Pasquadibisceglie,3,bpi_challenge_2012,0.8349205051702293
173,Pasquadibisceglie,1,bpi_challenge_2012,0.8245250706917838
174,Pasquadibisceglie,2,bpi_challenge_2012,0.838550116734597
175,Pasquadibisceglie,1,sepsis,0.5516139341642697
176,Pasquadibisceglie,2,sepsis,0.5620488140254383
177,Pasquadibisceglie,3,sepsis,0.546813812744749
178,Pasquadibisceglie,4,sepsis,0.5774011299435028
179,Pasquadibisceglie,0,sepsis,0.5695339143615006
180,Mauro,3,nasa,0.38174019607843135
181,Mauro,2,nasa,0.17439173576185946
182,Mauro,1,nasa,0.16961770623742456
183,Mauro,4,nasa,0.1721678891605542
184,Mauro,0,nasa,0.1536775784139159
185,Mauro,4,bpi_challenge_2012_w_complete,0.6770947426067908
186,Mauro,0,bpi_challenge_2012_w_complete,0.6868135711787339
187,Mauro,1,bpi_challenge_2012_w_complete,0.6952680149224426
188,Mauro,3,bpi_challenge_2012_w_complete,0.6893971782813167
189,Mauro,2,bpi_challenge_2012_w_complete,0.6836655631471438
190,Mauro,3,bpi_challenge_2013_closed_problems,0.250936329588015
191,Mauro,4,bpi_challenge_2013_closed_problems,0.23524656426839127
192,Mauro,0,bpi_challenge_2013_closed_problems,0.23952095808383234
193,Mauro,2,bpi_challenge_2013_closed_problems,0.26526162790697677
194,Mauro,1,bpi_challenge_2013_closed_problems,0.2558139534883721
195,Mauro,4,bpi_challenge_2012_a,0.7966240576860046
196,Mauro,1,bpi_challenge_2012_a,0.7963923894242649
197,Mauro,0,bpi_challenge_2012_a,0.7968788299697688
198,Mauro,3,bpi_challenge_2012_a,0.79725
199,Mauro,2,bpi_challenge_2012_a,0.8009783938035059
200,Mauro,1,helpdesk,0.2757561436672968
201,Mauro,4,helpdesk,0.4195837275307474
202,Mauro,0,helpdesk,0.24204864359214218
203,Mauro,3,helpdesk,0.40973348783314023
204,Mauro,2,helpdesk,0.24249476378868978
205,Mauro,0,env_permit,0.5270588235294118
206,Mauro,4,env_permit,0.5403800475059383
207,Mauro,2,env_permit,0.5365439093484419
208,Mauro,1,env_permit,0.5198847262247839
209,Mauro,3,env_permit,0.5558180744240993
210,Mauro,4,bpi_challenge_2012_o,0.8232224396607958
211,Mauro,1,bpi_challenge_2012_o,0.8316391359593392
212,Mauro,3,bpi_challenge_2012_o,0.8247390559277146
213,Mauro,0,bpi_challenge_2012_o,0.8258985879332478
214,Mauro,2,bpi_challenge_2012_o,0.8313057583130575
215,Mauro,1,bpi_challenge_2012_complete,0.8029803826738808
216,Mauro,0,bpi_challenge_2012_complete,0.7984082454107458
217,Mauro,3,bpi_challenge_2012_complete,0.801691816688873
218,Mauro,4,bpi_challenge_2012_complete,0.7997333414138965
219,Mauro,2,bpi_challenge_2012_complete,0.8004197271773348
220,Mauro,3,bpi_challenge_2012_w,0.8601121042266323
221,Mauro,4,bpi_challenge_2012_w,0.8588584222616382
222,Mauro,2,bpi_challenge_2012_w,0.8554736652885134
223,Mauro,0,bpi_challenge_2012_w,0.8620669091776493
224,Mauro,1,bpi_challenge_2012_w,0.8625226987009359
225,Mauro,2,bpi_challenge_2013_incidents,0.3554198237204268
226,Mauro,0,bpi_challenge_2013_incidents,0.3524355300859599
227,Mauro,4,bpi_challenge_2013_incidents,0.3884169884169884
228,Mauro,1,bpi_challenge_2013_incidents,0.36744258709576627
229,Mauro,3,bpi_challenge_2013_incidents,0.36981965403018036
230,Mauro,1,bpi_challenge_2012,0.8094481035657506
231,Mauro,0,bpi_challenge_2012,0.8548560874249653
232,Mauro,3,bpi_challenge_2012,0.8565498244456946
233,Mauro,4,bpi_challenge_2012,0.8561069137021148
234,Mauro,2,bpi_challenge_2012,0.8558851746646852
235,Mauro,2,sepsis,0.5776138550352791
236,Mauro,0,sepsis,0.6532116532116532
237,Mauro,3,sepsis,0.576018549188473
238,Mauro,4,sepsis,0.6453752181500872
239,Mauro,1,sepsis,0.6238394728960767
240,Hinkka,0,nasa,0.8803588549513766
241,Hinkka,4,nasa,0.8892284705243141
242,Hinkka,2,nasa,0.8803860269131439
243,Hinkka,3,nasa,0.8907271241830066
244,Hinkka,1,nasa,0.8800804828973843
245,Hinkka,1,bpi_challenge_2012_w_complete,0.7120559741657696
246,Hinkka,4,bpi_challenge_2012_w_complete,0.7050821174314513
247,Hinkka,3,bpi_challenge_2012_w_complete,0.7053453099690767
248,Hinkka,0,bpi_challenge_2012_w_complete,0.6976004625614339
